ID,num.fixes,start_time,end_time,elapsed_seconds,drive
P1,16346,2025-08-26T19:24:33Z,2025-08-26T19:32:08Z,454.76399517059326,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P11,4171,2025-08-26T19:32:08Z,2025-08-26T19:34:03Z,114.37138414382935,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P12,1541,2025-08-26T19:34:03Z,2025-08-26T19:34:43Z,40.63727402687073,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P13,19262,2025-08-26T19:34:43Z,2025-08-26T19:43:18Z,514.6448230743408,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P14,2459,2025-08-26T19:43:18Z,2025-08-26T19:44:25Z,67.08678007125854,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P16,12345,2025-08-26T19:44:25Z,2025-08-26T19:49:51Z,325.6185998916626,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P19,2435,2025-08-26T19:49:51Z,2025-08-26T19:50:52Z,60.774301052093506,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P2,2466,2025-08-26T19:50:52Z,2025-08-26T19:51:53Z,61.78717303276062,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P24,3598,2025-08-26T19:51:53Z,2025-08-26T19:53:24Z,90.96077609062195,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P25,5178,2025-08-26T19:53:24Z,2025-08-26T19:55:44Z,139.5390419960022,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P26,4191,2025-08-26T19:55:44Z,2025-08-26T19:57:35Z,111.11318397521973,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P30,4039,2025-08-26T19:57:35Z,2025-08-26T19:59:25Z,109.29741787910461,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P31,6420,2025-08-26T19:59:25Z,2025-08-26T20:02:09Z,164.8502779006958,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P33,9023,2025-08-26T20:02:09Z,2025-08-26T20:06:09Z,239.02055501937866,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P34,343,2025-08-26T20:06:09Z,2025-08-26T20:06:30Z,21.882517099380493,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P36,6117,2025-08-26T20:06:30Z,2025-08-26T20:09:00Z,149.43098306655884,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P37,2411,2025-08-26T20:09:00Z,2025-08-26T20:10:03Z,63.242724895477295,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P39,6199,2025-08-26T20:10:04Z,2025-08-26T20:12:37Z,153.06403708457947,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P4,22775,2025-08-26T20:12:37Z,2025-08-26T20:24:11Z,694.0637159347534,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P41,1725,2025-08-26T20:24:11Z,2025-08-26T20:24:57Z,45.80414700508118,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P44,850,2025-08-26T20:24:57Z,2025-08-26T20:25:26Z,29.5796480178833,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P5,1922,2025-08-26T20:25:26Z,2025-08-26T20:26:14Z,48.05927491188049,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P6,1275,2025-08-26T20:26:14Z,2025-08-26T20:26:51Z,36.264589071273804,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
P9,2990,2025-08-26T20:26:51Z,2025-08-26T20:28:05Z,74.576740026474,E:/TestFolderSJ/mt_lion_crossings_and_corridors/mt_lion_crossings_and_corridors
